 mc2(MeV) freq(MHz) Z I(mA) npart
    938.272029 0.1761000E+03   1. 0.00000E+00         10
 Sizes, positions are in mm, angles in mrad
 Phases in deg, energies in MeV
 Emittances and halo in mm.mrad or deg.MeV
 Phase advance per meter in deg/mm
 Current is in mA
 Powlost is in W
 H&V dispersion in mm
 ## z(m) gama-1 x0 y0 p0 x'0 y'0 W0 SizeX  SizeY SizeP sxx' syy' spW ex ey ep hx hy hp npart kx ky kz ex99  ey99 ep99 phiS Ws SCCurrent Aper e4D EmitR kr Powlost Xmax Ymax  ezdp SizeZ szdp Hdisp Vdisp Hdisp/dz Vdisp/dz E6D Sxy Sx'y'
   23     6.6300000 0.1892829E-01 -.3448228E-03 -.3487298E-02 0.1401789E+00 0.1003814E-02 0.8644573E-03 -.3359135E-03 0.1605886E+01 0.2899281E+01 0.1887507E+01 -.3857881E+00 -.3194208E+01 0.0000000E+00 0.2397162E+00 0.2378604E+00 0.5520594E-01 -.2654602E-01 0.4104618E+00 -.4658878E-01         10 0.2433433E-01 0.8354847E-02 0.2702670E-01 0.8672269E+00 0.1064331E+01 0.1048180E+01 0.1895835E-07 -.1760924E-08 0.0000000E+00 0.1000000E+03 0.5700959E-01 0.3487040E+00 0.9099624E-01 0.0000000E+00 0.2430773E+01 0.5414107E+01 0.2782376E+00 0.1712458E+01 0.2901830E+00 -.6056024E+02 -.3127435E+02 0.2809817E+01 0.2013670E+02 0.1583929E-01 0.4591791E-01 -.5207797E-02
   24     6.7800000 0.1892829E-01 -.1942507E-03 -.3357630E-02 0.1420388E+00 0.1003814E-02 0.8644573E-03 -.3359135E-03 0.1574024E+01 0.2734747E+01 0.1918988E+01 -.2896682E+00 -.2985720E+01 0.0000000E+00 0.2397162E+00 0.2378604E+00 0.5520353E-01 -.2654602E-01 0.4104618E+00 -.4665302E-01         10 0.2782982E-01 0.8786345E-02 0.2637426E-01 0.8672269E+00 0.1064331E+01 0.1048892E+01 0.2707125E-07 -.1760924E-08 0.0000000E+00 0.1000000E+03 0.5700959E-01 0.3492858E+00 0.9787960E-01 0.0000000E+00 0.2413995E+01 0.5150112E+01 0.2782255E+00 0.1741020E+01 0.3941505E+00 -.6013876E+02 -.2825384E+02 0.2809817E+01 0.2013670E+02 0.1583858E-01 0.4655309E-01 -.5207797E-02
   25     7.3694200 0.1892829E-01 0.3974171E-03 -.2848101E-02 0.1493474E+00 0.1003814E-02 0.8644573E-03 -.3359135E-03 0.1535807E+01 0.2107614E+01 0.2122952E+01 0.8803154E-01 -.2166469E+01 0.0000000E+00 0.2397162E+00 0.2378604E+00 0.5519410E-01 -.2654602E-01 0.4104618E+00 -.4690539E-01         10 0.2973976E-01 0.1193815E-01 0.2370785E-01 0.8672269E+00 0.1064331E+01 0.1051693E+01 0.5895456E-07 -.1760924E-08 0.0000000E+00 0.3000000E+02 0.5700959E-01 0.4288842E+00 0.1532558E+00 0.0000000E+00 0.2682335E+01 0.4112751E+01 0.2781780E+00 0.1926068E+01 0.8026876E+00 -.5848260E+02 -.1638487E+02 0.2809817E+01 0.2013670E+02 0.1583579E-01 0.4677932E-01 -.5207797E-02
   26     7.3816306 0.1892833E-01 0.4096742E-03 -.2837546E-02 0.1494988E+00 0.1003789E-02 0.8644966E-03 -.3357620E-03 0.1536537E+01 0.2095074E+01 0.2128370E+01 0.9580698E-01 -.2149585E+01 0.0000000E+00 0.2397162E+00 0.2378605E+00 0.5519385E-01 -.2654625E-01 0.4104623E+00 -.4691050E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8672260E+00 0.1064331E+01 0.1051745E+01 0.5961571E-07 -.1760871E-08 0.0000000E+00 0.3000000E+02 0.5700960E-01 0.4311375E+00 0.1000000E-04 0.0000000E+00 0.2690882E+01 0.4091261E+01 0.2781767E+00 0.1930986E+01 0.8110497E+00 -.5845097E+02 -.1613880E+02 0.2810480E+01 0.2013654E+02 0.1583572E-01 0.4674574E-01 -.5206949E-02
   26     7.3938412 0.1892843E-01 0.4219306E-03 -.2826989E-02 0.1496501E+00 0.1003699E-02 0.8646844E-03 -.3357803E-03 0.1537329E+01 0.2082557E+01 0.2133831E+01 0.1033953E+00 -.2133038E+01 0.0000000E+00 0.2397161E+00 0.2378606E+00 0.5519351E-01 -.2654648E-01 0.4104628E+00 -.4691540E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8672245E+00 0.1064332E+01 0.1051802E+01 0.6027523E-07 -.1760831E-08 0.0000000E+00 0.3000000E+02 0.5700960E-01 0.4333774E+00 0.1000000E-04 0.0000000E+00 0.2699428E+01 0.4069768E+01 0.2781750E+00 0.1935945E+01 0.8194557E+00 -.5841752E+02 -.1589042E+02 0.2816414E+01 0.2013750E+02 0.1583562E-01 0.4671054E-01 -.5205786E-02
   26     7.4060518 0.1892868E-01 0.4341853E-03 -.2816428E-02 0.1498016E+00 0.1003515E-02 0.8652051E-03 -.3365629E-03 0.1538179E+01 0.2070059E+01 0.2139335E+01 0.1105604E+00 -.2117245E+01 0.0000000E+00 0.2397158E+00 0.2378605E+00 0.5519293E-01 -.2654488E-01 0.4104591E+00 -.4691974E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8672288E+00 0.1064332E+01 0.1051888E+01 0.6093637E-07 -.1760970E-08 0.0000000E+00 0.3000000E+02 0.5700950E-01 0.4356026E+00 0.1000000E-04 0.0000000E+00 0.2707968E+01 0.4048266E+01 0.2781721E+00 0.1940951E+01 0.8282374E+00 -.5837164E+02 -.1563357E+02 0.2842460E+01 0.2014029E+02 0.1583542E-01 0.4667360E-01 -.5210961E-02
   26     7.4182624 0.1892920E-01 0.4464376E-03 -.2805857E-02 0.1499538E+00 0.1003358E-02 0.8662783E-03 -.3401922E-03 0.1539082E+01 0.2057576E+01 0.2144888E+01 0.1170007E+00 -.2102747E+01 0.0000000E+00 0.2397148E+00 0.2378594E+00 0.5519194E-01 -.2653460E-01 0.4104372E+00 -.4692299E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8672627E+00 0.1064331E+01 0.1052081E+01 0.6159589E-07 -.1761975E-08 0.0000000E+00 0.3000000E+02 0.5700900E-01 0.4378142E+00 0.1000000E-04 0.0000000E+00 0.2716494E+01 0.4026742E+01 0.2781671E+00 0.1946015E+01 0.8387425E+00 -.5827262E+02 -.1535173E+02 0.2926833E+01 0.2014551E+02 0.1583498E-01 0.4663464E-01 -.5247048E-02
   26     7.4304729 0.1892986E-01 0.4586918E-03 -.2795271E-02 0.1501086E+00 0.1004117E-02 0.8674471E-03 -.3514678E-03 0.1540034E+01 0.2045101E+01 0.2150511E+01 0.1231971E+00 -.2088761E+01 0.0000000E+00 0.2397126E+00 0.2378547E+00 0.5519078E-01 -.2649598E-01 0.4103586E+00 -.4692526E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8673982E+00 0.1064321E+01 0.1052574E+01 0.6225867E-07 -.1765951E-08 0.0000000E+00 0.3000000E+02 0.5700734E-01 0.4400200E+00 0.1000000E-04 0.0000000E+00 0.2725000E+01 0.4005180E+01 0.2781612E+00 0.1951150E+01 0.8549731E+00 -.5800472E+02 -.1501114E+02 0.3139697E+01 0.2014894E+02 0.1583411E-01 0.4659343E-01 -.5384716E-02
   26     7.4426835 0.1892900E-01 0.4709761E-03 -.2784686E-02 0.1502701E+00 0.1009268E-02 0.8649499E-03 -.3773575E-03 0.1541046E+01 0.2032646E+01 0.2156270E+01 0.1336491E+00 -.2067795E+01 0.0000000E+00 0.2397095E+00 0.2378407E+00 0.5519219E-01 -.2638490E-01 0.4101399E+00 -.4693146E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8678015E+00 0.1064288E+01 0.1053670E+01 0.6292308E-07 -.1777813E-08 0.0000000E+00 0.3000000E+02 0.5700322E-01 0.4422435E+00 0.1000000E-04 0.0000000E+00 0.2733509E+01 0.3983599E+01 0.2781683E+00 0.1956332E+01 0.8860039E+00 -.5732069E+02 -.1457499E+02 0.3530809E+01 0.2012647E+02 0.1583315E-01 0.4655075E-01 -.5781767E-02
   26     7.4548941 0.1891999E-01 0.4833926E-03 -.2774214E-02 0.1504445E+00 0.1027616E-02 0.8458893E-03 -.4170134E-03 0.1542204E+01 0.2020323E+01 0.2162306E+01 0.1643530E+00 -.2013395E+01 0.0000000E+00 0.2397113E+00 0.2378111E+00 0.5520722E-01 -.2615102E-01 0.4096885E+00 -.4696404E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8686772E+00 0.1064201E+01 0.1055465E+01 0.6359399E-07 -.1804864E-08 0.0000000E+00 0.3000000E+02 0.5699636E-01 0.4445208E+00 0.1000000E-04 0.0000000E+00 0.2742190E+01 0.3962202E+01 0.2782441E+00 0.1961353E+01 0.9446383E+00 -.5592537E+02 -.1411186E+02 0.3813030E+01 0.2001635E+02 0.1583502E-01 0.4651189E-01 -.6610490E-02
   26     7.4671047 0.1888705E-01 0.4961653E-03 -.2764178E-02 0.1506303E+00 0.1067586E-02 0.7918967E-03 -.4201005E-03 0.1543771E+01 0.2008464E+01 0.2168802E+01 0.2394432E+00 -.1886669E+01 0.0000000E+00 0.2397304E+00 0.2377744E+00 0.5526318E-01 -.2588028E-01 0.4091727E+00 -.4708179E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8697706E+00 0.1064058E+01 0.1056294E+01 0.6427957E-07 -.1843510E-08 0.0000000E+00 0.3000000E+02 0.5699171E-01 0.4468270E+00 0.1000000E-04 0.0000000E+00 0.2751522E+01 0.3941631E+01 0.2785261E+00 0.1965580E+01 0.1022651E+01 -.5426900E+02 -.1411266E+02 0.2878446E+01 0.1976856E+02 0.1584900E-01 0.4649228E-01 -.7541934E-02
   26     7.4793153 0.1881666E-01 0.5094784E-03 -.2754939E-02 0.1507883E+00 0.1110428E-02 0.7241456E-03 -.2360559E-03 0.1546053E+01 0.1997459E+01 0.2175674E+01 0.3356827E+00 -.1728781E+01 0.0000000E+00 0.2397608E+00 0.2377596E+00 0.5538670E-01 -.2587740E-01 0.4091544E+00 -.4734467E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8700358E+00 0.1063968E+01 0.1050507E+01 0.6497817E-07 -.1850371E-08 0.0000000E+00 0.3000000E+02 0.5699537E-01 0.4489919E+00 0.1000000E-04 0.0000000E+00 0.2762051E+01 0.3922664E+01 0.2791487E+00 0.1968232E+01 0.1039466E+01 -.5493126E+02 -.1571076E+02 -.1028972E+00 0.1949124E+02 0.1588489E-01 0.4650965E-01 -.7563465E-02
   26     7.4915259 0.1872749E-01 0.5231775E-03 -.2746333E-02 0.1508247E+00 0.1129321E-02 0.6926481E-03 0.2274468E-03 0.1548954E+01 0.1987172E+01 0.2182135E+01 0.3908644E+00 -.1642581E+01 0.0000000E+00 0.2397747E+00 0.2377719E+00 0.5554813E-01 -.2611448E-01 0.4094772E+00 -.4768947E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8694905E+00 0.1063943E+01 0.1034145E+01 0.6566700E-07 -.1764437E-08 0.0000000E+00 0.3000000E+02 0.5700189E-01 0.4509901E+00 0.1000000E-04 0.0000000E+00 0.2773579E+01 0.3905074E+01 0.2799623E+00 0.1969524E+01 0.8828266E+00 -.6120794E+02 -.2004738E+02 -.4223457E+01 0.1894672E+02 0.1593256E-01 0.4655820E-01 -.6983977E-02
   26     7.5037365 0.1865860E-01 0.5369919E-03 -.2737887E-02 0.1506493E+00 0.1132088E-02 0.6940856E-03 0.8505711E-03 0.1552107E+01 0.1977135E+01 0.2186932E+01 0.4059755E+00 -.1622649E+01 0.0000000E+00 0.2397697E+00 0.2377872E+00 0.5567451E-01 -.2631941E-01 0.4096086E+00 -.4797202E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8690738E+00 0.1063890E+01 0.1011238E+01 0.6630861E-07 -.1579540E-08 0.0000000E+00 0.3000000E+02 0.5700445E-01 0.4529671E+00 0.1000000E-04 0.0000000E+00 0.2785449E+01 0.3887942E+01 0.2805993E+00 0.1970318E+01 0.5415868E+00 -.7222600E+02 -.2691356E+02 -.8759684E+01 0.1615315E+02 0.1596897E-01 0.4661721E-01 -.6790720E-02
   26     7.5159471 0.1863573E-01 0.5508169E-03 -.2729351E-02 0.1502356E+00 0.1132598E-02 0.7039852E-03 0.1449742E-02 0.1555313E+01 0.1967098E+01 0.2189091E+01 0.4093952E+00 -.1619565E+01 0.0000000E+00 0.2397586E+00 0.2377938E+00 0.5571409E-01 -.2641923E-01 0.4094947E+00 -.4810221E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8690573E+00 0.1063793E+01 0.9884323E+00 0.6687205E-07 -.1342077E-08 0.0000000E+00 0.3000000E+02 0.5700329E-01 0.4549747E+00 0.1000000E-04 0.0000000E+00 0.2797303E+01 0.3870759E+01 0.2807987E+00 0.1971088E+01 0.1044303E+00 -.7811967E+02 -.3210522E+02 -.1216144E+02 0.8296032E+01 0.1597963E-01 0.4667547E-01 -.7076209E-02
   26     7.5281576 0.1866391E-01 0.5646662E-03 -.2720717E-02 0.1496242E+00 0.1136774E-02 0.7085274E-03 0.1877653E-02 0.1558547E+01 0.1957049E+01 0.2188364E+01 0.4170966E+00 -.1606839E+01 0.0000000E+00 0.2397510E+00 0.2377918E+00 0.5565579E-01 -.2642425E-01 0.4092383E+00 -.4805250E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8693572E+00 0.1063676E+01 0.9711505E+00 0.6734593E-07 -.1113783E-08 0.0000000E+00 0.3000000E+02 0.5700074E-01 0.4570039E+00 0.1000000E-04 0.0000000E+00 0.2809107E+01 0.3853484E+01 0.2805049E+00 0.1971882E+01 -.3104504E+00 -.7034009E+02 -.3060425E+02 -.1211919E+02 -.1782829E+01 0.1596227E-01 0.4673182E-01 -.7607604E-02
   26     7.5403682 0.1873115E-01 0.5786149E-03 -.2712109E-02 0.1489025E+00 0.1150142E-02 0.6978453E-03 0.2048399E-02 0.1561888E+01 0.1947102E+01 0.2185263E+01 0.4407448E+00 -.1567274E+01 0.0000000E+00 0.2397539E+00 0.2377818E+00 0.5552343E-01 -.2633575E-01 0.4089049E+00 -.4783885E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8699204E+00 0.1063558E+01 0.9627250E+00 0.6774327E-07 -.9498535E-09 0.0000000E+00 0.3000000E+02 0.5699864E-01 0.4590481E+00 0.1000000E-04 0.0000000E+00 0.2821001E+01 0.3836326E+01 0.2798378E+00 0.1972534E+01 -.6004463E+00 -.5853750E+02 -.2571045E+02 -.9997505E+01 -.8489172E+01 0.1592411E-01 0.4679021E-01 -.8217181E-02
   26     7.5525788 0.1881081E-01 0.5928286E-03 -.2703796E-02 0.1481708E+00 0.1181344E-02 0.6576995E-03 0.1971104E-02 0.1565530E+01 0.1937507E+01 0.2180839E+01 0.4993500E+00 -.1474135E+01 0.0000000E+00 0.2397740E+00 0.2377672E+00 0.5536872E-01 -.2622059E-01 0.4086243E+00 -.4753513E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8705476E+00 0.1063455E+01 0.9633442E+00 0.6809339E-07 -.8823662E-09 0.0000000E+00 0.3000000E+02 0.5699952E-01 0.4610758E+00 0.1000000E-04 0.0000000E+00 0.2833338E+01 0.3819776E+01 0.2790580E+00 0.1972606E+01 -.7113781E+00 -.5231484E+02 -.2212990E+02 -.8536222E+01 -.1151146E+02 0.1588043E-01 0.4686118E-01 -.8595149E-02
   26     7.5647894 0.1886845E-01 0.6075258E-03 -.2696181E-02 0.1474980E+00 0.1226149E-02 0.5867009E-03 0.1785122E-02 0.1569790E+01 0.1928658E+01 0.2176213E+01 0.5988581E+00 -.1321655E+01 0.0000000E+00 0.2398052E+00 0.2377627E+00 0.5525622E-01 -.2633257E-01 0.4087520E+00 -.4728081E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8704784E+00 0.1063405E+01 0.9686859E+00 0.6843373E-07 -.8951240E-09 0.0000000E+00 0.3000000E+02 0.5700608E-01 0.4629454E+00 0.1000000E-04 0.0000000E+00 0.2846686E+01 0.3804625E+01 0.2784910E+00 0.1971352E+01 -.6790413E+00 -.5201833E+02 -.2078255E+02 -.9382139E+01 -.1197494E+02 0.1585070E-01 0.4696322E-01 -.7984901E-02
   26     7.5770000 0.1888596E-01 0.6227099E-03 -.2689443E-02 0.1468837E+00 0.1256451E-02 0.5210277E-03 0.1690292E-02 0.1574840E+01 0.1920761E+01 0.2171929E+01 0.6975374E+00 -.1174790E+01 0.0000000E+00 0.2398243E+00 0.2377877E+00 0.5521967E-01 -.2682426E-01 0.4093857E+00 -.4718569E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8691510E+00 0.1063404E+01 0.9717610E+00 0.6878222E-07 -.9177334E-09 0.0000000E+00 0.3000000E+02 0.5701740E-01 0.4645370E+00 0.1000000E-04 0.0000000E+00 0.2861328E+01 0.3791322E+01 0.2783068E+00 0.1968359E+01 -.6317854E+00 -.5323713E+02 -.2073523E+02 -.1252274E+02 -.1098346E+02 0.1584449E-01 0.4710799E-01 -.6122733E-02
   26     7.5892106 0.1887745E-01 0.6380803E-03 -.2683317E-02 0.1462682E+00 0.1255453E-02 0.4891465E-03 0.1799353E-02 0.1580508E+01 0.1913600E+01 0.2167632E+01 0.7594732E+00 -.1085709E+01 0.0000000E+00 0.2398218E+00 0.2378509E+00 0.5523254E-01 -.2755409E-01 0.4101430E+00 -.4721780E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8668861E+00 0.1063361E+01 0.9678874E+00 0.6912908E-07 -.8772041E-09 0.0000000E+00 0.3000000E+02 0.5703229E-01 0.4659040E+00 0.1000000E-04 0.0000000E+00 0.2876924E+01 0.3779483E+01 0.2783717E+00 0.1964034E+01 -.6968203E+00 -.5092849E+02 -.2049473E+02 -.1589132E+02 -.1045556E+02 0.1585355E-01 0.4728822E-01 -.3634026E-02
   26     7.6014212 0.1887607E-01 0.6532452E-03 -.2677327E-02 0.1455780E+00 0.1225292E-02 0.4976399E-03 0.2077924E-02 0.1586441E+01 0.1906744E+01 0.2162367E+01 0.7715963E+00 -.1070372E+01 0.0000000E+00 0.2398026E+00 0.2379341E+00 0.5523328E-01 -.2823101E-01 0.4106203E+00 -.4724802E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8645991E+00 0.1063233E+01 0.9574064E+00 0.6944499E-07 -.7459064E-09 0.0000000E+00 0.3000000E+02 0.5704691E-01 0.4672155E+00 0.1000000E-04 0.0000000E+00 0.2892813E+01 0.3768272E+01 0.2783755E+00 0.1959194E+01 -.9177185E+00 -.4268347E+02 -.1856269E+02 -.1615000E+02 -.1114746E+02 0.1585882E-01 0.4748564E-01 -.1556049E-02
   26     7.6136318 0.1891188E-01 0.6679878E-03 -.2671088E-02 0.1447840E+00 0.1190632E-02 0.5247027E-03 0.2345478E-02 0.1592311E+01 0.1899802E+01 0.2155319E+01 0.7547812E+00 -.1095868E+01 0.0000000E+00 0.2397803E+00 0.2379884E+00 0.5516655E-01 -.2860367E-01 0.4107535E+00 -.4713976E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8633181E+00 0.1063108E+01 0.9554491E+00 0.6970066E-07 -.5690985E-09 0.0000000E+00 0.3000000E+02 0.5705385E-01 0.4686631E+00 0.1000000E-04 0.0000000E+00 0.2908419E+01 0.3756891E+01 0.2780391E+00 0.1954608E+01 -.1210198E+01 -.3212638E+02 -.1520561E+02 -.1308053E+02 -.1212589E+02 0.1584238E-01 0.4768108E-01 -.6952339E-03
   26     7.6258424 0.1899020E-01 0.6823684E-03 -.2664539E-02 0.1439291E+00 0.1166651E-02 0.5464433E-03 0.2425536E-02 0.1598021E+01 0.1892666E+01 0.2146480E+01 0.7383188E+00 -.1118790E+01 0.0000000E+00 0.2397653E+00 0.2380074E+00 0.5502436E-01 -.2873647E-01 0.4107547E+00 -.4684321E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8628993E+00 0.1063046E+01 0.9516294E+00 0.6989282E-07 -.4260485E-09 0.0000000E+00 0.3000000E+02 0.5705457E-01 0.4702261E+00 0.1000000E-04 0.0000000E+00 0.2923595E+01 0.3745080E+01 0.2773225E+00 0.1950507E+01 -.1435884E+01 -.2437165E+02 -.1216657E+02 -.9734759E+01 -.1266115E+02 0.1580265E-01 0.4786688E-01 -.6105291E-03
   26     7.6380529 0.1909558E-01 0.6965190E-03 -.2657788E-02 0.1431004E+00 0.1152610E-02 0.5573807E-03 0.2244989E-02 0.1603617E+01 0.1885397E+01 0.2136653E+01 0.7305686E+00 -.1127781E+01 0.0000000E+00 0.2397597E+00 0.2380074E+00 0.5483770E-01 -.2873335E-01 0.4107361E+00 -.4640044E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8629026E+00 0.1063041E+01 0.9439761E+00 0.7004752E-07 -.3753264E-09 0.0000000E+00 0.3000000E+02 0.5705330E-01 0.4718253E+00 0.1000000E-04 0.0000000E+00 0.2938445E+01 0.3732942E+01 0.2763817E+00 0.1946807E+01 -.1499380E+01 -.2072084E+02 -.1020036E+02 -.7386635E+01 -.1293939E+02 0.1574963E-01 0.4804381E-01 -.7629068E-03
   26     7.6502635 0.1920311E-01 0.7105527E-03 -.2650975E-02 0.1423898E+00 0.1147523E-02 0.5562927E-03 0.1818803E-02 0.1609177E+01 0.1878094E+01 0.2127058E+01 0.7349438E+00 -.1119709E+01 0.0000000E+00 0.2397637E+00 0.2380003E+00 0.5465221E-01 -.2865822E-01 0.4107332E+00 -.4591107E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8630606E+00 0.1063077E+01 0.9562593E+00 0.7020222E-07 -.4409664E-09 0.0000000E+00 0.3000000E+02 0.5705263E-01 0.4734109E+00 0.1000000E-04 0.0000000E+00 0.2953122E+01 0.3720661E+01 0.2754469E+00 0.1943360E+01 -.1369228E+01 -.2108544E+02 -.9225387E+01 -.6010175E+01 -.1302318E+02 0.1569693E-01 0.4821513E-01 -.8624091E-03
   26     7.6624741 0.1928545E-01 0.7245756E-03 -.2644259E-02 0.1418646E+00 0.1149914E-02 0.5419309E-03 0.1251927E-02 0.1614816E+01 0.1870888E+01 0.2118900E+01 0.7568855E+00 -.1088860E+01 0.0000000E+00 0.2397736E+00 0.2380019E+00 0.5451364E-01 -.2862123E-01 0.4107627E+00 -.4550518E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8629953E+00 0.1063107E+01 0.9747634E+00 0.7039926E-07 -.6086722E-09 0.0000000E+00 0.3000000E+02 0.5705522E-01 0.4749082E+00 0.1000000E-04 0.0000000E+00 0.2967836E+01 0.3708501E+01 0.2747484E+00 0.1939935E+01 -.1078086E+01 -.2593270E+02 -.8990381E+01 -.5699728E+01 -.1207540E+02 0.1565842E-01 0.4838708E-01 -.5462098E-03
   26     7.6746847 0.1932245E-01 0.7386081E-03 -.2637753E-02 0.1415393E+00 0.1144896E-02 0.5258339E-03 0.7284564E-03 0.1620651E+01 0.1863911E+01 0.2112934E+01 0.7883572E+00 -.1046785E+01 0.0000000E+00 0.2397753E+00 0.2380420E+00 0.5445319E-01 -.2880435E-01 0.4107925E+00 -.4529660E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8620296E+00 0.1063022E+01 0.9934210E+00 0.7066470E-07 -.8183889E-09 0.0000000E+00 0.3000000E+02 0.5706414E-01 0.4761730E+00 0.1000000E-04 0.0000000E+00 0.2982790E+01 0.3696749E+01 0.2744438E+00 0.1936276E+01 -.7280251E+00 -.3489020E+02 -.9170748E+01 -.7362496E+01 -.8302144E+01 0.1564422E-01 0.4856862E-01 0.7044268E-03
   26     7.6868953 0.1931771E-01 0.7523950E-03 -.2631292E-02 0.1413641E+00 0.1107699E-02 0.5388676E-03 0.4163416E-03 0.1626621E+01 0.1857086E+01 0.2109076E+01 0.7917800E+00 -.1042671E+01 0.0000000E+00 0.2397557E+00 0.2381317E+00 0.5446348E-01 -.2918234E-01 0.4106652E+00 -.4529542E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8601199E+00 0.1062756E+01 0.1005684E+01 0.7100016E-07 -.9813306E-09 0.0000000E+00 0.3000000E+02 0.5707825E-01 0.4771858E+00 0.1000000E-04 0.0000000E+00 0.2997832E+01 0.3685293E+01 0.2744956E+00 0.1932509E+01 -.4597404E+00 -.4348474E+02 -.9481181E+01 -.1100567E+02 -.2423877E+01 0.1565177E-01 0.4876075E-01 0.2614221E-02
   26     7.6991059 0.1929911E-01 0.7655968E-03 -.2624481E-02 0.1412594E+00 0.1056003E-02 0.5776906E-03 0.3123295E-03 0.1632446E+01 0.1850091E+01 0.2106511E+01 0.7606957E+00 -.1084224E+01 0.0000000E+00 0.2397296E+00 0.2382076E+00 0.5449728E-01 -.2942673E-01 0.4104468E+00 -.4538051E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8586545E+00 0.1062509E+01 0.1010504E+01 0.7137633E-07 -.1056520E-08 0.0000000E+00 0.3000000E+02 0.5708768E-01 0.4782426E+00 0.1000000E-04 0.0000000E+00 0.3012440E+01 0.3673501E+01 0.2746660E+00 0.1929256E+01 -.3338020E+00 -.4798397E+02 -.9829831E+01 -.1357180E+02 0.1439107E+01 0.1566434E-01 0.4894934E-01 0.3800479E-02
   26     7.7113165 0.1928614E-01 0.7782735E-03 -.2617230E-02 0.1411713E+00 0.1024305E-02 0.6070965E-03 0.3044531E-03 0.1638020E+01 0.1842794E+01 0.2104447E+01 0.7351144E+00 -.1118830E+01 0.0000000E+00 0.2397140E+00 0.2382341E+00 0.5452073E-01 -.2948525E-01 0.4103531E+00 -.4544792E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8581442E+00 0.1062424E+01 0.1011370E+01 0.7176878E-07 -.1076558E-08 0.0000000E+00 0.3000000E+02 0.5708934E-01 0.4794679E+00 0.1000000E-04 0.0000000E+00 0.3026453E+01 0.3661078E+01 0.2747842E+00 0.1926736E+01 -.2957233E+00 -.4959766E+02 -.1008448E+02 -.1423239E+02 0.2682021E+01 0.1567152E-01 0.4912512E-01 0.4072248E-02
   26     7.7235271 0.1928037E-01 0.7906921E-03 -.2609724E-02 0.1410811E+00 0.1012076E-02 0.6201539E-03 0.3157319E-03 0.1643453E+01 0.1835317E+01 0.2102514E+01 0.7274540E+00 -.1130266E+01 0.0000000E+00 0.2397080E+00 0.2382367E+00 0.5453116E-01 -.2947934E-01 0.4103462E+00 -.4548151E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8580743E+00 0.1062420E+01 0.1011187E+01 0.7216450E-07 -.1078124E-08 0.0000000E+00 0.3000000E+02 0.5708847E-01 0.4807570E+00 0.1000000E-04 0.0000000E+00 0.3040104E+01 0.3648236E+01 0.2748368E+00 0.1924686E+01 -.2868139E+00 -.5008940E+02 -.1019806E+02 -.1419001E+02 0.2843289E+01 0.1567424E-01 0.4929166E-01 0.4029175E-02
