 mc2(MeV) freq(MHz) Z I(mA) npart
    938.272029 0.1761000E+03   1. 0.00000E+00         10
 Sizes, positions are in mm, angles in mrad
 Phases in deg, energies in MeV
 Emittances and halo in mm.mrad or deg.MeV
 Phase advance per meter in deg/mm
 Current is in mA
 Powlost is in W
 H&V dispersion in mm
 ## z(m) gama-1 x0 y0 p0 x'0 y'0 W0 SizeX  SizeY SizeP sxx' syy' spW ex ey ep hx hy hp npart kx ky kz ex99  ey99 ep99 phiS Ws SCCurrent Aper e4D EmitR kr Powlost Xmax Ymax  ezdp SizeZ szdp Hdisp Vdisp Hdisp/dz Vdisp/dz E6D Sxy Sx'y'
    6     1.4847894 0.1758613E-01 -.2005715E-04 -.1833984E-05 0.5437572E-02 -.2756844E-03 -.3684403E-04 0.3940325E-03 0.1549747E+01 0.1855644E+01 0.2194676E+01 0.2999315E+00 -.1465420E+01 0.0000000E+00 0.2407846E+00 0.2403416E+00 0.5342918E-01 -.3735692E-01 0.3679332E+00 -.3410969E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8765563E+00 0.1050528E+01 0.9723902E+00 -.8197384E-07 0.6815419E-09 0.0000000E+00 0.3000000E+02 0.5787023E-01 0.4280730E+00 0.1000000E-04 0.0000000E+00 0.2893429E+01 0.3404332E+01 0.2692828E+00 0.1921141E+01 -.7822623E+00 0.7286688E+01 0.2616387E+01 -.7729636E+00 0.4308342E+01 0.1558278E-01 -.6060550E-03 0.9725398E-03
    6     1.4970000 0.1760452E-01 -.2389187E-04 -.2318427E-05 0.5316999E-02 -.3491861E-03 -.4216654E-04 0.3404541E-03 0.1552551E+01 0.1846504E+01 0.2189375E+01 0.4085257E+00 -.1313053E+01 0.0000000E+00 0.2407811E+00 0.2403871E+00 0.5346164E-01 -.3756757E-01 0.3707835E+00 -.3434285E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8754989E+00 0.1052346E+01 0.9715644E+00 -.8225963E-07 0.7055441E-09 0.0000000E+00 0.3000000E+02 0.5788053E-01 0.4270008E+00 0.1000000E-04 0.0000000E+00 0.2894665E+01 0.3382167E+01 0.2694464E+00 0.1917477E+01 -.7360533E+00 0.6043511E+01 0.2528478E+01 0.3438356E-03 0.3065599E+01 0.1559534E-01 -.5700498E-03 0.8024287E-03
    6     1.5092106 0.1759525E-01 -.2845993E-04 -.2853495E-05 0.5198996E-02 -.3925339E-03 -.4502407E-04 0.3683582E-03 0.1556069E+01 0.1838145E+01 0.2184053E+01 0.4790422E+00 -.1221395E+01 0.0000000E+00 0.2407673E+00 0.2404708E+00 0.5344948E-01 -.3783748E-01 0.3753796E+00 -.3425147E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8736121E+00 0.1055185E+01 0.9721021E+00 -.8254237E-07 0.6563532E-09 0.0000000E+00 0.3000000E+02 0.5789748E-01 0.4261972E+00 0.1000000E-04 0.0000000E+00 0.2897189E+01 0.3361301E+01 0.2693851E+00 0.1912325E+01 -.8039121E+00 0.6312246E+01 0.2499629E+01 0.1738818E+01 0.8367823E+00 0.1559646E-01 -.5651445E-03 0.2589515E-03
    6     1.5214212 0.1759285E-01 -.3329747E-04 -.3407164E-05 0.5069472E-02 -.3931535E-03 -.4531116E-04 0.3849640E-03 0.1559921E+01 0.1830102E+01 0.2177629E+01 0.4952296E+00 -.1206426E+01 0.0000000E+00 0.2407537E+00 0.2405650E+00 0.5344639E-01 -.3803322E-01 0.3797899E+00 -.3423886E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8716835E+00 0.1057879E+01 0.9725408E+00 -.8278175E-07 0.4963958E-09 0.0000000E+00 0.3000000E+02 0.5791667E-01 0.4253959E+00 0.1000000E-04 0.0000000E+00 0.2900312E+01 0.3340857E+01 0.2693695E+00 0.1906573E+01 -.1040431E+01 0.5338097E+01 0.2292895E+01 0.2222258E+01 -.1058436E+01 0.1560046E-01 -.6014665E-03 -.2702497E-03
    6     1.5336318 0.1762935E-01 -.3795778E-04 -.3955234E-05 0.4956272E-02 -.3686726E-03 -.4439739E-04 0.2965240E-03 0.1563735E+01 0.1821955E+01 0.2169151E+01 0.4782409E+00 -.1232013E+01 0.0000000E+00 0.2407468E+00 0.2406163E+00 0.5350122E-01 -.3808317E-01 0.3820329E+00 -.3468280E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8706245E+00 0.1059247E+01 0.9713433E+00 -.8294072E-07 0.2814140E-09 0.0000000E+00 0.3000000E+02 0.5792711E-01 0.4242542E+00 0.1000000E-04 0.0000000E+00 0.2903325E+01 0.3320098E+01 0.2696458E+00 0.1901069E+01 -.1355299E+01 0.2248197E+01 0.1918218E+01 0.9124826E+00 -.1636898E+01 0.1561909E-01 -.6694220E-03 -.3934956E-03
    6     1.5458424 0.1771031E-01 -.4230909E-04 -.4491651E-05 0.4910485E-02 -.3451866E-03 -.4349365E-04 0.8414658E-04 0.1567392E+01 0.1813602E+01 0.2158621E+01 0.4606063E+00 -.1252959E+01 0.0000000E+00 0.2407451E+00 0.2406270E+00 0.5362155E-01 -.3806079E-01 0.3825894E+00 -.3563541E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8703160E+00 0.1059589E+01 0.9682538E+00 -.8301706E-07 0.1112426E-09 0.0000000E+00 0.3000000E+02 0.5792923E-01 0.4228189E+00 0.1000000E-04 0.0000000E+00 0.2905968E+01 0.3298875E+01 0.2702523E+00 0.1896066E+01 -.1594473E+01 -.1637154E+01 0.1601860E+01 -.5481248E+00 -.1644584E+01 0.1565476E-01 -.7507692E-03 -.2967630E-03
    6     1.5580529 0.1781862E-01 -.4642313E-04 -.5018128E-05 0.4972067E-02 -.3302598E-03 -.4276550E-04 -.2061238E-03 0.1570936E+01 0.1805118E+01 0.2147002E+01 0.4521368E+00 -.1258512E+01 0.0000000E+00 0.2407458E+00 0.2406229E+00 0.5378058E-01 -.3803674E-01 0.3824566E+00 -.3687176E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8703576E+00 0.1059504E+01 0.9640364E+00 -.8304617E-07 0.5911360E-10 0.0000000E+00 0.3000000E+02 0.5792841E-01 0.4212518E+00 0.1000000E-04 0.0000000E+00 0.2908302E+01 0.3277357E+01 0.2710538E+00 0.1891468E+01 -.1651940E+01 -.5903394E+01 0.1447477E+01 -.1649462E+01 -.1712018E+01 0.1570076E-01 -.8342842E-03 -.2152559E-03
    6     1.5702635 0.1792695E-01 -.5041855E-04 -.5536659E-05 0.5153953E-02 -.3262926E-03 -.4219360E-04 -.5086298E-03 0.1574453E+01 0.1796614E+01 0.2135745E+01 0.4564679E+00 -.1246677E+01 0.0000000E+00 0.2407472E+00 0.2406207E+00 0.5393755E-01 -.3804721E-01 0.3822232E+00 -.3806841E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8704907E+00 0.1059348E+01 0.9594726E+00 -.8308301E-07 0.1526210E-09 0.0000000E+00 0.3000000E+02 0.5792825E-01 0.4196554E+00 0.1000000E-04 0.0000000E+00 0.2910480E+01 0.3255750E+01 0.2718450E+00 0.1887111E+01 -.1495808E+01 -.1118071E+02 0.1453591E+01 -.2572275E+01 -.2068034E+01 0.1574600E-01 -.9155499E-03 -.2490080E-03
    6     1.5824741 0.1800620E-01 -.5444884E-04 -.6049264E-05 0.5440512E-02 -.3359562E-03 -.4179739E-04 -.7444329E-03 0.1578063E+01 0.1788221E+01 0.2126253E+01 0.4785308E+00 -.1214286E+01 0.0000000E+00 0.2407471E+00 0.2406435E+00 0.5405077E-01 -.3814024E-01 0.3826590E+00 -.3891627E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8703220E+00 0.1059595E+01 0.9556832E+00 -.8318295E-07 0.3691234E-09 0.0000000E+00 0.3000000E+02 0.5793364E-01 0.4181693E+00 0.1000000E-04 0.0000000E+00 0.2912727E+01 0.3234286E+01 0.2724156E+00 0.1882762E+01 -.1167866E+01 -.1801795E+02 0.1576842E+01 -.3358626E+01 -.3018425E+01 0.1577980E-01 -.9960543E-03 -.4617172E-03
    6     1.5946847 0.1803658E-01 -.5864481E-04 -.6558239E-05 0.5789761E-02 -.3496664E-03 -.4161928E-04 -.8482100E-03 0.1581881E+01 0.1780045E+01 0.2119354E+01 0.5077798E+00 -.1178186E+01 0.0000000E+00 0.2407404E+00 0.2407329E+00 0.5409315E-01 -.3839203E-01 0.3849822E+00 -.3922532E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8691477E+00 0.1060994E+01 0.9538048E+00 -.8338061E-07 0.6292247E-09 0.0000000E+00 0.3000000E+02 0.5795318E-01 0.4170319E+00 0.1000000E-04 0.0000000E+00 0.2915280E+01 0.3213126E+01 0.2726292E+00 0.1878195E+01 -.7857267E+00 -.2467448E+02 0.1681593E+01 -.2956873E+01 -.5150173E+01 0.1579676E-01 -.1087713E-02 -.9011686E-03
