ELE# 1 : 0.2 m
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +4.346066e-01 +4.647559e-01 
ELE# 38 : 11.505 m
+1.703037e+00 -3.949601e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+8.720966e-01 -1.476543e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +3.845135e-01 -1.769881e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +5.357302e-01 -4.772763e-02 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +7.333557e-01 -1.163692e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.992252e-01 +9.517758e-01 
ELE# 39 : 12.01 m
+2.143812e+00 -4.695876e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+8.720966e-01 -1.476543e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +6.552823e-01 -1.794004e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +5.357302e-01 -4.772763e-02 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +8.300556e-01 -7.017191e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.992252e-01 +9.517758e-01 
